Invoice No,Distributor Code,Customer Code,Route Code,Product Index,Product Code,,Product Description,UOM Code,Selling Type,Default UOM,Product Quantity,MRP,Product List Price,UOM List Price,Gross Amount,Product Discount,Promo Discount,SLS Discount,Customer Group Discount,Discount Amount,Amount After SKU Disc,Customer Discount,Total Tax Amount,Total Net Amount,SO Number,Document Type,Invoice Status,Invoice Date,GST Code,GST Rate,Backend Customer Ref No,Distributor User Defined 1,Distributor User Defined 2,Distributor User Defined 3,Distributor User Defined 4,Distributor User Defined 5,Distributor User Defined 1,Distributor User Defined 2,Distributor User Defined 3,Distributor User Defined 4,Distributor User Defined 5,Smallest UOM Quantity,Picklist Indicator,Outlet Type,Segmentation,Outlet Program,Route Plan Code & Name,VAT,Add VAT,HSN Code,Route Segmentation,Route Mobile Number
IN001327,7880336,CT0010054101,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000219,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001328,7880336,CT0010041629,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000221,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001329,7880336,CT0010041579,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000222,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001330,7880336,CT0010041535,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000223,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001331,7880336,CT0010048195,SHA1003,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000225,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001332,7880336,CT0010054675,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000229,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001333,7880336,CT0010054676,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000230,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001334,7880336,CT0010041660,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000231,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001335,7880336,CT0010041563,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000216,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001340,7880336,CT0010041618,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000232,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001341,7880336,CT0010041617,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000233,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001349,7880336,CT0010044943,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1004000226,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001351,7880336,CT0010044957,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1004000229,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001354,7880336,CT0010044946,SHA1004,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1004000234,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001355,7880336,CT0010044926,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1004000227,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001359,7880336,CT0010054655,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1004000238,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001360,7880336,CT0010044909,SHA1004,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1004000239,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001363,7880336,CT0010054102,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1004000236,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-A,,,,,,,,
IN001368,7880336,CT0010046824,SHA1005,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1005000190,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001369,7880336,CT0010041505,SHA1005,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1005000191,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001370,7880336,CT0010054076,SHA1005,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1005000192,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001371,7880336,CT0010046738,SHA1005,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1005000193,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001374,7880336,CT0010054659,SHA1005,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1005000186,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001376,7880336,CT0010054684,SHA1005,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1005000195,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001380,7880336,CT0010054094,SHA1006,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1006000249,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-A,,,,,,,,
IN001381,7880336,CT0010043551,SHA1006,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1006000250,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001384,7880336,CT0010054660,SHA1006,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1006000247,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001388,7880336,CT0010054666,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000195,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001389,7880336,CT0010054667,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000196,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001391,7880336,CT0010046991,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000200,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001392,7880336,CT0010046922,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000201,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001393,7880336,CT0010046867,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000202,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001396,7880336,CT0010046638,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000210,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001397,7880336,CT0010054690,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000214,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001398,7880336,CT0010054687,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000215,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001400,7880336,CT0010054686,SHA1007,3,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000208,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001401,7880336,CT0010054685,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000209,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001409,7880336,CT0010046551,SHA1001,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1001000227,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001410,7880336,CT0010046548,SHA1001,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1001000228,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001418,7880336,CT0010046770,SHA1001,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1001000240,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001423,7880336,CT0010047003,SHA1002,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1002000231,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001424,7880336,CT0010047017,SHA1002,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1002000233,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001429,7880336,CT0010047100,SHA1002,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1002000241,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001431,7880336,CT0010041867,SHA1003,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000237,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001432,7880336,CT0010046995,SHA1002,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1002000232,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001438,7880336,CT0010042488,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000234,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001440,7880336,CT0010042446,SHA1003,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000238,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001441,7880336,CT0010042401,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000239,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001442,7880336,CT0010042414,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000240,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001443,7880336,CT0010041859,SHA1003,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000241,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001452,7880336,CT0010042456,SHA1003,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1003000243,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001462,7880336,CT0010046320,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1004000259,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001464,7880336,CT0010054731,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1004000262,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001467,7880336,CT0010054730,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1004000266,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001468,7880336,CT0010054114,SHA1005,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1005000196,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001473,7880336,CT0010054701,SHA1005,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1005000204,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001478,7880336,CT0010054703,SHA1005,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1005000205,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001481,7880336,CT0010054706,SHA1005,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1005000209,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001488,7880336,CT0010054717,SHA1006,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1006000255,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001490,7880336,CT0010054715,SHA1006,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1006000258,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001491,7880336,CT0010054151,SHA1006,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1006000253,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-A,,,,,,,,
IN001493,7880336,CT0010054714,SHA1006,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1006000259,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001496,7880336,CT0010047107,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000224,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001499,7880336,CT0010054719,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000220,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-A,,,,,,,,
IN001500,7880336,CT0010054721,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000222,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001501,7880336,CT0010054722,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000223,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001505,7880336,CT0010047145,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000235,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001506,7880336,CT0010054736,SHA1007,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000230,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001508,7880336,CT0010046903,SHA1007,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,12,0,3218.39,22.35,268.2,289.68,24.14,0,0,24.14,244.06,0,39.05,283.11,SOSHA1007000236,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,12,Picked,DTR Van-D,,,,,,,,
IN001066,7880336,CT0010054524,SHA1001,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,11,0,3218.39,22.35,245.85,0,0,0,0,0,245.85,0,39.34,285.19,SOSHA1001000179,Invoice,Invoiced,17/03/2025,,,,,,,,,,,,,,11,Picked,DTR Van-D,,,,,,,,
IN000164,7880336,CT0010045101,SHA1002,3,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,0,0,0,0,0,258.66,0,41.39,300.05,SOSHA1002000035,Invoice,Invoiced,04/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000405,7880336,CT0010054134,SHA1002,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,0,0,0,0,0,258.66,0,41.39,300.05,SOSHA1002000090,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000436,7880336,CT0010054102,SHA1004,8,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,0,0,0,0,0,258.66,0,41.39,300.05,SOSHA1004000053,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-A,,,,,,,,
IN000471,7880336,CT0010054151,SHA1006,4,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,0,0,0,0,0,258.66,0,41.39,300.05,SOSHA1006000109,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-A,,,,,,,,
IN000501,7880336,CT0010054006,SHA1004,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,0,0,0,0,0,258.66,0,41.39,300.05,SOSHA1004000018,Invoice,Invoiced,07/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-C,,,,,,,,
IN000657,7880336,CT0010054240,SHA1004,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,0,0,0,0,0,258.66,0,41.39,300.05,SOSHA1004000102,Invoice,Invoiced,10/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-A,,,,,,,,
IN000705,7880336,CT0010054293,SHA1001,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,0,0,0,0,0,258.66,0,41.39,300.05,SOSHA1001000110,Invoice,Invoiced,11/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000786,7880336,CT0010054323,SHA1007,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,0,0,0,0,0,258.66,0,41.39,300.05,SOSHA1007000133,Invoice,Invoiced,11/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000984,7880336,CT0010054480,SHA1001,1,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,6,0,1552,43.11,258.66,0,0,0,0,0,258.66,0,41.39,300.05,SOSHA1001000167,Invoice,Invoiced,14/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN001015,7880336,CT0010054496,SHA1004,3,366163,0366163,Dettol Soap Original 72*60G,OU,S,CA,6,0,3986,55.36,332.16,358.68,29.89,0,0,29.89,302.27,0,0,302.27,SOSHA1004000164,Invoice,Invoiced,14/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN001111,7880336,CT0010054566,SHA1004,1,366163,0366163,Dettol Soap Original 72*60G,OU,S,CA,6,0,3986,55.36,332.16,358.68,29.89,0,0,29.89,302.27,0,0,302.27,SOSHA1004000189,Invoice,Invoiced,17/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN001227,7880336,CT0010054589,SHA1004,2,366163,0366163,Dettol Soap Original 72*60G,OU,S,CA,6,0,3986,55.36,332.16,358.68,29.89,0,0,29.89,302.27,0,0,302.27,SOSHA1004000212,Invoice,Invoiced,18/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
